rule	class	basis
property_expr_lr_suffix_r31	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r32	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r33	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r34	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r35	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r36	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r37	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r38	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r39	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r4	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r5	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r6	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r7	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r8	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_lr_suffix_r9	lr_synthetic	the LR eliminator authored this name; not an LRM construct
property_expr_sv_2017	coverage_gap	certificate coverage WITNESSED it, so it can fire
property_named_arg	coverage_gap	certificate coverage WITNESSED it, so it can fire
ref_declaration	coverage_gap	certificate coverage WITNESSED it, so it can fire
reserved_non_keyword_identifier	coverage_gap	certificate coverage WITNESSED it, so it can fire
reserved_non_keyword_identifier_sv	coverage_gap	certificate coverage WITNESSED it, so it can fire
restrict_property_statement	coverage_gap	certificate coverage WITNESSED it, so it can fire
scoped_checker_identifier	coverage_gap	certificate coverage WITNESSED it, so it can fire
scoped_property_identifier	coverage_gap	certificate coverage WITNESSED it, so it can fire
sequence_named_arg	coverage_gap	certificate coverage WITNESSED it, so it can fire
sv_dollar_skew_timing_check	coverage_gap	certificate coverage WITNESSED it, so it can fire
sv_multi_entry_root	coverage_gap	certificate coverage WITNESSED it, so it can fire
systemverilog_parseable_file	coverage_gap	certificate coverage WITNESSED it, so it can fire
timestamp_condition	coverage_gap	certificate coverage WITNESSED it, so it can fire
union_modifier	coverage_gap	certificate coverage WITNESSED it, so it can fire
z_or_x	coverage_gap	certificate coverage WITNESSED it, so it can fire
zero_or_one	coverage_gap	certificate coverage WITNESSED it, so it can fire
