final_verdict	repro	note	verdict	channel	suite	relpath	fail_line	wrapper	form	decl_count	declarations	macro	rounds	residual_furthest	snippet
DEFECT	defect_tfport_index_method_call.sv	same construct as the darjeeling copy	RESIDUAL	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_cov.sv	56		class+module+package+interface	19	OtpAccessError,OtpCheckFailError,OtpFsmStateError,OtpMacroEccCorrError,OtpMacroEccUncorrError,OtpMacroError,OtpNoError,TL_DW,buf_err_code_cg,covergroup,csr_offset,endgroup,name,new,option,otp_ctrl_core_reg_block,ral,unbuf_err_code_cg,val		14	4956	ctrl_core_reg_block ral) with function sample(bit[TL_DW-1:0]
DEFECT	defect_constant_size_cast.sv	same construct as the darjeeling copy	RESIDUAL	NO-FACT-GATE-AT-FAILURE	opentitan	hw/top_earlgrey/rtl/autogen/testing/top_earlgrey_rnd_cnst_pkg.sv	233		class+module+package+interface	1	otp_ctrl_top_specific_pkg		14	6088	448'h0 }) }; //////////////////////////////////////////// // lc_ct
DEFECT	defect_cross_body_item.sv	same construct as the darjeeling copy	RESIDUAL	UNDECLARED-ANYWHERE	opentitan	hw/top_englishbreakfast/ip_autogen/clkmgr/dv/env/clkmgr_env_cov.sv	24		class+module+package+interface	1	peri_cross		14	1082	le_off = peri_cross with (csr_enable_cp == 1 && ip_clk_en_cp == 0); } endg
FRAGMENT-ENUM-BODY		the whole file is `CUSTOM_1,` — an enum-member list included INSIDE an `enum { … }`, so no wrapper in the ladder can shape it	RESIDUAL	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/vendor/google_riscv-dv/src/isa/custom/riscv_custom_instr_enum.sv	2		class+module+package+interface	0			14	51	name enum CUSTOM_1,
FRAGMENT-MODULE			FRAGMENT-MODULE	NO-FACT-GATE-AT-FAILURE	Cores-VeeR-EL2	design/include/el2_dec_csr_equ_m.svh	87	module	class	0			1		nc; logic postsync; assign csr_misa = (!dec_csr_rdaddr_d[11]&!dec_csr_rdaddr_d[6
FRAGMENT-MODULE			FRAGMENT-MODULE	NO-FACT-GATE-AT-FAILURE	Cores-VeeR-EL2	design/include/el2_dec_csr_equ_mu.svh	104	module	class	0			1		nc; logic postsync; assign csr_misa = (!dec_csr_rdaddr_d[11]&!dec_csr_rdaddr_d[6
INVALID-SV	invalid_fatal_without_finish_number.sv	"$fatal(""…"") carries no finish_number; $error/$warning/$info in the same file are fine"	RESIDUAL	NO-FACT-GATE-AT-FAILURE	Surelog	tests/ElabSysCall/dut.sv	3		class+module+package+interface	0			14	42	"must be at most 4kB""); end endmodule module top_error(); if (1) begin $error("
INVALID-SV	invalid_binary_reduction_nand.sv	`shifter ~& result` uses the unary reduction operator as a binary one	RESIDUAL	UNDECLARED-ANYWHERE	Surelog	tests/UnitTest/top.v	34		class+module+package+interface	2	result,shifter		14	945	shifter = shifter ~& result; shifter = shifter ~| result; end endmodu
INVALID-SV		"the file's first token is the bare marker `ERROR_CURRENTLY_UNSUPPORTED`, followed by a typedef — a deliberate upstream ""do not compile"" sentinel, not SV"	RESIDUAL	UNDECLARED-ANYWHERE	black-parrot	bp_top/test/common/bp_nonsynth_core_profiler.sv	3		class+module+package+interface	1	ERROR_CURRENTLY_UNSUPPORTED		14	217	NTLY_UNSUPPORTED typedef struct packed { logic icache_miss; logic b
INVALID-SV	invalid_param_trailing_comma.sv	`.EntropyWidth(EntropyWidth),` is followed directly by `)`	RESIDUAL	NO-FACT-GATE-AT-FAILURE	opentitan	hw/ip/kmac/pre_dv/kmac_reduced_tb/rtl/kmac_reduced_tb.sv	53		class+module+package+interface	9	EnMasking,EntropyWidth,MsgWidth,MsgWidthChunks,NumShares,StateW,kmac_reduced,prim_mubi_pkg,sha3_st_e		14	2536	th(EntropyWidth), ) u_kmac_reduced ( .clk_i, .rst_ni, // Inputs e
INVALID-SV	invalid_implicit_named_param.sv	`bind otbn_core otbn_trace_if #(.ImemAddrWidth, .DmemAddrWidth)` — parameter shorthand without parens	RESIDUAL	UNDECLARED-ANYWHERE	opentitan	hw/ip/otbn/dv/verilator/otbn_top_sim.sv	168		class+module+package+interface	52	DmemAddrWidth,DmemSizeByte,EdnDataWidth,ExtWLEN,FixedEdnVals,ImemAddrWidth,ImemSizeByte,SideloadKeyWidth,WLEN,bind,core_err_bits,core_err_bits_t,dmem_addr,dmem_rdata,dmem_req,dmem_rerror,dmem_rvalid,dmem_wdata,dmem_wmask,dmem_write,edn_req_t,edn_rnd_ack,edn_rnd_data,edn_rnd_data_valid,edn_rnd_req,edn_rsp_t,edn_urnd_data_valid,err_bits_t,imem_addr,imem_rdata,imem_req,imem_rvalid,insn_cnt,keymgr_key,otbn_core,otbn_done,otbn_key_req_t,otbn_mock_edn,otbn_mock_edn_bivium,otbn_pkg,otbn_reg_pkg,otbn_start_r,otbn_trace_if,prim_mubi_pkg,prim_util_pkg,rnd_req,rnd_rsp,secure_wipe_running,sideload_key_shares,u_otbn_core,urnd_req,urnd_rsp		14	13146	_if #(.ImemAddrWidth, .DmemAddrWidth) i_otbn_trace_if (.*); bind otbn_core otb
INVALID-SV	invalid_implicit_named_param.sv	`ibex_simple_system_cosim_checker#( .SecureIbex, .ICache, …)` — parameter shorthand without parens	RESIDUAL	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/dv/verilator/simple_system_cosim/ibex_simple_system_cosim_checker_bind.sv	7		class+module+package+interface	2	bind,ibex_simple_system_cosim_checker		14	583	#( .SecureIbex, .ICache, .PMPEnable, .PMPGranularity,
INVALID-SV	invalid_dollar_module_identifier.sv	`module $_DLATCH_P_` — a Yosys techmap cell name, not an SV identifier	RESIDUAL	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/syn/rtl/latch_map.v	6		class+module+package+interface	0			14	200	pecific cell module $_DLATCH_P_ (input E, input D, output Q); DLH_X1 _TECHMAP_RE
INVALID-SV	invalid_reserved_word_port.sv	`module t_langext_order_sub(input do)` — the file itself carries `// verilator lint_off SYMRSVDWORD`	RESIDUAL	NO-FACT-GATE-AT-FAILURE	verilator	test_regress/t/t_langext_order_sub.v	11		class+module+package+interface	0			14	335	ext_order_sub(input do); endmodule
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	opentitan	hw/dv/sv/tl_agent/dv/env/tl_agent_env_pkg.sv	17	none	class	1	dv_base_env_cov	include	14	694	"(tl_agent_env_cfg)) tl_agent_env_cov; `include ""tl_agent_env_cfg.sv"" `inclu"
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/ip/aes/dv/env/aes_ral_extension.svh	6	none	class	1	aes_reg_block	uvm_object_utils	14	455	xtends aes_reg_block; `uvm_object_utils(aes_reg_block_extended) function ne
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	opentitan	hw/ip/aes/dv/err_injection_if/signal_force.sv	24	none	class	1	uvm_config_db	uvm_fatal	14	3395	")::set(null, ""*"", pick_if_name(), fi_if); end // Pick a name"
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	opentitan	hw/top_darjeeling/dv/autogen/tb__alert_handler_connect.sv	7	module	class	0		CHIP_HIER	14	243	y `topgen.py` tool assign alert_if[0].alert_tx = `CHIP_HIER.u_uart0.alert_tx_o[
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_dbg/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	349	.py` tool xbar_dbg dut(); `DRIVE_CLK(clk_dbg_i) `DRIVE_CLK(clk_peri_i) initia
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_main/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	354	py` tool xbar_main dut(); `DRIVE_CLK(clk_main_i) `DRIVE_CLK(clk_fixed_i) init
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_mbx/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	349	.py` tool xbar_mbx dut(); `DRIVE_CLK(clk_mbx_i) initial force dut.clk_mbx_i =
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_peri/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	354	py` tool xbar_peri dut(); `DRIVE_CLK(clk_peri_i) initial force dut.clk_peri_i
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	opentitan	hw/top_earlgrey/dv/autogen/tb__alert_handler_connect.sv	7	module	class	0		CHIP_HIER	14	243	y `topgen.py` tool assign alert_if[0].alert_tx = `CHIP_HIER.u_uart0.alert_tx_o[
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip/xbar_main/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	354	py` tool xbar_main dut(); `DRIVE_CLK(clk_main_i) `DRIVE_CLK(clk_fixed_i) `DRIV
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip/xbar_peri/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	354	py` tool xbar_peri dut(); `DRIVE_CLK(clk_peri_i) initial force dut.clk_peri_i
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_englishbreakfast/ip/xbar_main/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	354	py` tool xbar_main dut(); `DRIVE_CLK(clk_main_i) `DRIVE_CLK(clk_fixed_i) init
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/top_englishbreakfast/ip/xbar_peri/dv/autogen/tb__xbar_connect.sv	7	module	class	0		DRIVE_CLK	14	354	py` tool xbar_peri dut(); `DRIVE_CLK(clk_peri_i) `DRIVE_CLK(clk_spi_host0_i) `
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/peek/abs.sv	16	module	class	0		CR	14	738	te /////////////// assign pre_regs[0] = 32'h0; for (genvar i = 1; i < 32; i++)
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/peek/mem.sv	13	module	class	0		CR	14	484	logic has_snd_req; assign has_snd_req = mem_gnt_snd_d | (mem_gnt_fst_q & `CR.da
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/protocol/irqs.sv	12	module	class	0		CSR	14	464	ither of these NoNMI: assume property (~irq_nm_i); NoFastIRQ: assume property (~
MACRO-BLOCKED			MACRO-BLOCKED	UNDECLARED-ANYWHERE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/spec_instance.sv	14	module	class	1	t_MainMode	ID	14	743	ate. */ t_MainMode main_mode; always_comb begin if (wbexc_handling_irq) ma
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	scr1	src/tb/scr1_top_tb_runtests.sv	10	module	class	0		ifdef	14	334	"------------------ initial begin $value$plusargs(""imem_pattern=%h"", imem_re"
MACRO-BLOCKED			MACRO-BLOCKED	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/base/uvm_resource_base.svh	123	none	class	3	uvm_object,uvm_queue,uvm_shared	uvm_object_utils	14	9303	(uvm_resource_base) rsrc_q_t; // SV queue of resources typedef uvm_resource
MACRO-BLOCKED			MACRO-BLOCKED	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/comps/uvm_driver.svh	59	none	class	1	uvm_component	uvm_component_param_utils	14	2392	xtends uvm_component; `uvm_component_param_utils(uvm_driver#(REQ,RSP)) // T
MACRO-BLOCKED			MACRO-BLOCKED	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/comps/uvm_in_order_comparator.svh	87	none	class	4	uvm_built_in_comp,uvm_built_in_converter,uvm_built_in_pair,uvm_component	uvm_component_param_utils	14	4405	uilt_in_comp #( T ) , type convert = uvm_built_in_converter #( T ) ,
MACRO-BLOCKED			MACRO-BLOCKED	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/comps/uvm_pair.svh	48	none	class	1	uvm_object	uvm_object_param_utils	14	2174	) extends uvm_object; typedef uvm_class_pair #(T1, T2 ) this_type; `uvm_ob
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	uvm-core	uvm-core-2020.3.1/src/reg/uvm_reg_sequence.svh	73	none	class	1	uvm_sequence	uvm_object_param_utils	14	3447	ence #(uvm_reg_item)) extends BASE; `uvm_object_param_utils(uvm_reg_sequence
MACRO-BLOCKED			MACRO-BLOCKED	NO-FACT-GATE-AT-FAILURE	uvm-core	uvm-core-2020.3.1/src/seq/uvm_sequencer_base.svh	41	none	class	7	uvm_component,uvm_config_db,uvm_phase,uvm_printer,uvm_sequence_base,uvm_sequence_item,uvm_sequencer_arb_mode	ifdef	14	16086	(uvm_sequence_base) uvm_config_seq; typedef class uvm_sequence_request; // Util
MACRO-BLOCKED			MACRO-BLOCKED	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/tlm1/uvm_sqr_connections.svh	57	none	class	2	uvm_port_base,uvm_sqr_if_base	UVM_SEQ_PORT	14	2537	tends uvm_port_base #(uvm_sqr_if_base #(REQ, RSP)); `UVM_SEQ_PORT(`UVM_SEQ_ITE
MACRO-BLOCKED			MACRO-BLOCKED	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/tlm1/uvm_tlm_req_rsp.svh	59	none	class	1	uvm_component	uvm_component_param_utils	14	2533	xtends uvm_component; typedef uvm_tlm_req_rsp_channel #(REQ, RSP) this_type;
NOT-SV-SOURCE		the file is a Surelog COMMAND LINE (`-parse -d uhdm … dut.sv -nobuiltin`) with a .sv extension — route to .13c.1	RESIDUAL	NO-FACT-GATE-AT-FAILURE	Surelog	tests/LoopBits/LoopBits.sv	1		class+module+package+interface	0			14		-parse -d uhdm -d coveruhdm -elabuhdm -d ast dut.sv -nobuilt
NOT-SV-SOURCE		a plain-text `include` fixture (`// Just a test string` + a bare string literal) — route to .13c.1	RESIDUAL	NO-FACT-GATE-AT-FAILURE	slang	tests/unittests/data/local.svh	2		class+module+package+interface	0			14	22	"Just a test string ""test string"""
NOT-SV-SOURCE		a plain-text `include` fixture (a bare string literal) — route to .13c.1	RESIDUAL	NO-FACT-GATE-AT-FAILURE	slang	tests/unittests/data/nested/nested_local.svh	1		class+module+package+interface	0			14		test string
NOT-SV-SOURCE		a plain-text `include` fixture (a bare string literal) — route to .13c.1	RESIDUAL	NO-FACT-GATE-AT-FAILURE	slang	tests/unittests/data/system/system.svh	1		class+module+package+interface	0			14		system stuff!
